Encoding,Configuration,solve-CPU,solve-Wall,Pre-CPU,Pre-WALL,Name
kmtotalizer,Occurrence,1.21,1.21,1.83,1.86,aes-key-recovery-AES2-74-72-unsat
kmtotalizer,Random_1,0.81,0.84,1.12,1.14,aes-key-recovery-AES2-74-72-unsat
kmtotalizer,Random_2,0.9,0.87,1.07,1.15,aes-key-recovery-AES2-74-72-unsat
kmtotalizer,Random_3,1.19,1.22,1.12,1.14,aes-key-recovery-AES2-74-72-unsat
kmtotalizer,Random_4,1.04,1.12,1.12,1.15,aes-key-recovery-AES2-74-72-unsat
kmtotalizer,Random_5,0.67,0.68,1.12,1.14,aes-key-recovery-AES2-74-72-unsat
kmtotalizer,PAMO+Occur,23.27,23.25,3.02,3.07,aes-key-recovery-AES2-74-74-sat
kmtotalizer,Natural+PAMO,23.76,23.85,1.29,1.31,aes-key-recovery-AES2-74-74-sat
kmtotalizer,PAMO,23.220000000000002,23.240000000000002,3.06,3.08,aes-key-recovery-AES2-74-74-sat
kmtotalizer,Proximity,22.86,22.84,2.32,2.39,aes-key-recovery-AES2-74-74-sat
kmtotalizer,Graph,53.71000000000001,53.71000000000001,113.44,113.53,aes-key-recovery-AES2-74-74-sat
kmtotalizer,Natural,24.14,24.13,1.08,1.11,aes-key-recovery-AES2-74-74-sat
kmtotalizer,Occurrence,52.44,52.45,1.8,1.86,aes-key-recovery-AES2-74-74-sat
kmtotalizer,Random_1,34.62,34.59,1.07,1.16,aes-key-recovery-AES2-74-74-sat
kmtotalizer,Random_2,40.15,40.21,1.12,1.16,aes-key-recovery-AES2-74-74-sat
kmtotalizer,Random_3,26.72,26.65,1.07,1.17,aes-key-recovery-AES2-74-74-sat
kmtotalizer,Random_4,44.16,44.19,1.12,1.15,aes-key-recovery-AES2-74-74-sat
kmtotalizer,Random_5,74.22,74.31,1.12,1.15,aes-key-recovery-AES2-74-74-sat
kmtotalizer,PAMO+Occur,7.609999999999999,7.6,3.01,3.08,aes-key-recovery-AES2-74-74-unsat
kmtotalizer,Natural+PAMO,7.27,7.28,1.23,1.3,aes-key-recovery-AES2-74-74-unsat
kmtotalizer,PAMO,7.6,7.6,3.07,3.09,aes-key-recovery-AES2-74-74-unsat
kmtotalizer,Proximity,7.69,7.6899999999999995,2.38,2.41,aes-key-recovery-AES2-74-74-unsat
kmtotalizer,Graph,8.170000000000002,8.200000000000003,112.66,112.7,aes-key-recovery-AES2-74-74-unsat
kmtotalizer,Natural,7.27,7.29,1.09,1.14,aes-key-recovery-AES2-74-74-unsat
kmtotalizer,Occurrence,9.77,9.76,1.79,1.87,aes-key-recovery-AES2-74-74-unsat
kmtotalizer,Random_1,7.62,7.67,1.13,1.15,aes-key-recovery-AES2-74-74-unsat
kmtotalizer,Random_2,7.6,7.66,1.13,1.15,aes-key-recovery-AES2-74-74-unsat
kmtotalizer,Random_3,8.12,8.14,1.07,1.15,aes-key-recovery-AES2-74-74-unsat
kmtotalizer,Random_4,8.34,8.36,1.13,1.15,aes-key-recovery-AES2-74-74-unsat
kmtotalizer,Random_5,8.83,8.82,1.08,1.14,aes-key-recovery-AES2-74-74-unsat
kmtotalizer,PAMO+Occur,1800,1800,3.19,3.24,aes-mul_8_3-sat
kmtotalizer,Natural+PAMO,1800,1800,4.110000000000001,4.190000000000007,aes-mul_8_3-sat
kmtotalizer,PAMO,1800,1800,3.17,3.23,aes-mul_8_3-sat
kmtotalizer,Proximity,1800,1800,3.08,3.15,aes-mul_8_3-sat
kmtotalizer,Graph,1800,1800,337.27,337.31,aes-mul_8_3-sat
kmtotalizer,Natural,1800,1800,0.76,0.83,aes-mul_8_3-sat
kmtotalizer,Occurrence,1800,1800,1.37,1.38,aes-mul_8_3-sat
kmtotalizer,Random_1,1800,1800,0.82,0.85,aes-mul_8_3-sat
kmtotalizer,Random_2,1800,1800,0.76,0.85,aes-mul_8_3-sat
kmtotalizer,Random_3,1800,1800,0.81,0.84,aes-mul_8_3-sat
kmtotalizer,Random_4,1800,1800,0.77,0.85,aes-mul_8_3-sat
kmtotalizer,Random_5,1800,1800,0.76,0.84,aes-mul_8_3-sat
kmtotalizer,PAMO+Occur,1800,1800,3.18,3.23,aes-mul_8_3-unsat
kmtotalizer,Natural+PAMO,1800,1800,4.060000000000005,4.089999999999994,aes-mul_8_3-unsat
kmtotalizer,PAMO,1800,1800,3.2,3.27,aes-mul_8_3-unsat
kmtotalizer,Proximity,1800,1800,3.05,3.15,aes-mul_8_3-unsat
kmtotalizer,Graph,1800,1800,341.28,341.45,aes-mul_8_3-unsat
kmtotalizer,Natural,1800,1800,0.82,0.84,aes-mul_8_3-unsat
kmtotalizer,Occurrence,1800,1800,1.36,1.42,aes-mul_8_3-unsat
kmtotalizer,Random_1,1800,1800,0.77,0.86,aes-mul_8_3-unsat
kmtotalizer,Random_2,1800,1800,0.83,0.85,aes-mul_8_3-unsat
kmtotalizer,Random_3,1800,1800,0.85,0.86,aes-mul_8_3-unsat
kmtotalizer,Random_4,1800,1800,0.82,0.85,aes-mul_8_3-unsat
kmtotalizer,Random_5,1800,1800,0.84,0.86,aes-mul_8_3-unsat
kmtotalizer,PAMO+Occur,1800,1800,5.83,5.87,aes-mul_8_9-sat
kmtotalizer,Natural+PAMO,1800,1800,7.150000000000011,7.190000000000001,aes-mul_8_9-sat
kmtotalizer,PAMO,1800,1800,5.77,5.88,aes-mul_8_9-sat
kmtotalizer,Proximity,1800,1800,5.67,5.74,aes-mul_8_9-sat
kmtotalizer,Graph,1800,1800,388.26,388.29,aes-mul_8_9-sat
kmtotalizer,Natural,1800,1800,1.14,1.19,aes-mul_8_9-sat
kmtotalizer,Occurrence,1800,1800,1.84,1.92,aes-mul_8_9-sat
kmtotalizer,Random_1,1800,1800,1.2,1.23,aes-mul_8_9-sat
kmtotalizer,Random_2,1800,1800,1.19,1.22,aes-mul_8_9-sat
kmtotalizer,Random_3,1800,1800,1.21,1.22,aes-mul_8_9-sat
kmtotalizer,Random_4,1800,1800,1.21,1.22,aes-mul_8_9-sat
kmtotalizer,Random_5,1800,1800,1.21,1.22,aes-mul_8_9-sat
kmtotalizer,PAMO+Occur,1800,1800,5.78,5.87,aes-mul_8_9-unsat
kmtotalizer,Natural+PAMO,1800,1800,6.990000000000006,7.000000000000001,aes-mul_8_9-unsat
kmtotalizer,PAMO,1800,1800,5.78,5.82,aes-mul_8_9-unsat
kmtotalizer,Proximity,1800,1800,5.66,5.69,aes-mul_8_9-unsat
kmtotalizer,Graph,1800,1800,385.18,385.3,aes-mul_8_9-unsat
kmtotalizer,Natural,1800,1800,1.13,1.21,aes-mul_8_9-unsat
kmtotalizer,Occurrence,1800,1800,1.88,1.93,aes-mul_8_9-unsat
kmtotalizer,Random_1,1800,1800,1.2,1.21,aes-mul_8_9-unsat
kmtotalizer,Random_2,1800,1800,1.19,1.21,aes-mul_8_9-unsat
kmtotalizer,Random_3,1800,1800,1.21,1.23,aes-mul_8_9-unsat
kmtotalizer,Random_4,1800,1800,1.16,1.21,aes-mul_8_9-unsat
kmtotalizer,Random_5,1800,1800,1.2,1.21,aes-mul_8_9-unsat
kmtotalizer,PAMO+Occur,0.9,0.8300000000000001,0.0,0.09,aes-sbox_4-sat
kmtotalizer,Natural+PAMO,4.1,4.08,0.0,0.07,aes-sbox_4-sat
kmtotalizer,PAMO,0.9,0.8400000000000001,0.0,0.09,aes-sbox_4-sat
kmtotalizer,Proximity,0.88,0.8300000000000001,0.0,0.09,aes-sbox_4-sat
kmtotalizer,Graph,0.4999999999999998,0.5399999999999998,1.59,1.61,aes-sbox_4-sat
kmtotalizer,Natural,4.05,4.08,0,0.07,aes-sbox_4-sat
kmtotalizer,Occurrence,1.88,1.82,0,0.12,aes-sbox_4-sat
kmtotalizer,Random_1,47.11,47.07,0,0.07,aes-sbox_4-sat
kmtotalizer,Random_2,10.08,10.1,0,0.07,aes-sbox_4-sat
kmtotalizer,Random_3,144.05,144.04,0,0.07,aes-sbox_4-sat
kmtotalizer,Random_4,35.59,35.56,0,0.07,aes-sbox_4-sat
kmtotalizer,Random_5,29.88,29.86,0,0.07,aes-sbox_4-sat
kmtotalizer,PAMO+Occur,209.01,209.0,0.0,0.09,aes-sbox_4-unsat
kmtotalizer,Natural+PAMO,308.56,308.6,0.060000000000002274,0.1499999999999983,aes-sbox_4-unsat
kmtotalizer,PAMO,209.06,209.05999999999997,0.0,0.08,aes-sbox_4-unsat
kmtotalizer,Proximity,210.92,210.98,0.0,0.08,aes-sbox_4-unsat
