Encoding,Configuration,solve-CPU,solve-Wall,Pre-CPU,Pre-WALL,Name
sequential,Natural,1.25,1.26,1.08,1.13,aes-key-recovery-AES2-60-56-unsat
sequential,Occurrence,1.75,1.74,1.84,1.88,aes-key-recovery-AES2-60-56-unsat
sequential,Random_1,1.8,1.8,1.07,1.15,aes-key-recovery-AES2-60-56-unsat
sequential,Random_2,1.63,1.64,1.11,1.18,aes-key-recovery-AES2-60-56-unsat
sequential,Random_3,1.45,1.45,1.13,1.16,aes-key-recovery-AES2-60-56-unsat
sequential,Random_4,1.56,1.55,1.11,1.17,aes-key-recovery-AES2-60-56-unsat
sequential,Random_5,1.48,1.53,1.11,1.16,aes-key-recovery-AES2-60-56-unsat
kmtotalizer,PAMO+Occur,32.21,32.2,4.58,3.08,aes-key-recovery-AES2-70-62-sat
kmtotalizer,Proximity,32.71,32.75,2.36,2.4,aes-key-recovery-AES2-70-62-sat
kmtotalizer,Natural,495.13,495.15,1.07,1.11,aes-key-recovery-AES2-70-62-sat
kmtotalizer,Occurrence,25.01,25,1.82,1.86,aes-key-recovery-AES2-70-62-sat
kmtotalizer,Random_1,64.21,64.17,1.07,1.15,aes-key-recovery-AES2-70-62-sat
kmtotalizer,Random_2,201.95,202.03,1.14,1.16,aes-key-recovery-AES2-70-62-sat
kmtotalizer,Random_3,209.72,209.74,1.14,1.15,aes-key-recovery-AES2-70-62-sat
kmtotalizer,Random_4,170.57,170.57,1.12,1.15,aes-key-recovery-AES2-70-62-sat
kmtotalizer,Random_5,207.08,207.13,1.14,1.16,aes-key-recovery-AES2-70-62-sat
mtotalizer,PAMO+Occur,189.85999999999999,189.86999999999998,3.03,3.08,aes-key-recovery-AES2-70-62-sat
mtotalizer,Proximity,191.14000000000001,191.22,2.38,2.41,aes-key-recovery-AES2-70-62-sat
mtotalizer,Natural,41.08,41.07,1.08,1.12,aes-key-recovery-AES2-70-62-sat
mtotalizer,Occurrence,573.23,573.29,1.84,1.89,aes-key-recovery-AES2-70-62-sat
mtotalizer,Random_1,299.48,299.56,1.12,1.17,aes-key-recovery-AES2-70-62-sat
mtotalizer,Random_2,53.99,54.08,1.14,1.15,aes-key-recovery-AES2-70-62-sat
mtotalizer,Random_3,172.76,172.79,1.14,1.17,aes-key-recovery-AES2-70-62-sat
mtotalizer,Random_4,136.48,136.5,1.08,1.17,aes-key-recovery-AES2-70-62-sat
mtotalizer,Random_5,167.51,167.57,1.14,1.16,aes-key-recovery-AES2-70-62-sat
cardnetwork,PAMO+Occur,242.04,242.07,2.99,3.06,aes-key-recovery-AES2-70-62-sat
cardnetwork,Proximity,241.66,241.68,2.38,2.4,aes-key-recovery-AES2-70-62-sat
cardnetwork,Natural,221.94,222,1.07,1.12,aes-key-recovery-AES2-70-62-sat
